0.09	0
0.14	0
0.19	0
0.24	0
0.29	0
0.34	1
0.39	1
0.44	1
0.49	2
0.54	3
0.59	5
0.64	6
0.69	14
0.74	29
0.79	39
0.84	44
0.89	68
0.94	71
0.99	76
1.04	77
1.09	77
1.14	77
1.19	77
1.24	76
1.29	74
1.34	74
1.39	76
1.44	76
1.49	77
1.54	76
1.59	76
1.64	75
1.69	76
1.74	76
1.79	76
1.84	77
1.89	77
1.94	79
1.99	79
2.04	79
2.09	79
2.14	79
2.19	74
2.24	77
2.29	117
2.34	157
2.39	214
2.44	215
2.49	230
2.54	249
2.59	265
2.64	282
2.69	297
2.74	314
2.79	322
2.84	352
2.89	362
2.94	367
2.99	384
3.04	389
3.09	384
3.14	378
3.19	388
3.24	384
3.29	384
3.34	389
3.39	389
3.44	384
3.49	389
3.54	422
3.59	446
3.64	453
3.69	463
3.74	481
3.79	484
3.84	484
3.89	482
3.94	482
3.99	482
4.04	482
4.09	482
4.14	482
4.19	484
4.24	484
4.29	488
4.34	496
4.39	510
4.44	521
4.49	530
4.54	542
4.59	553
4.64	558
4.69	564
4.74	569
4.79	576
4.84	577
4.89	576
4.94	597
4.99	607
5.04	617
5.09	627
5.14	635
5.19	654
5.24	674
5.29	693
5.34	695
5.39	731
5.44	749
5.49	759
5.54	762
5.59	825
5.64	825
5.69	826
5.74	825
5.79	826
5.84	827
5.89	826
5.94	827
5.99	827
6.04	828
6.09	827
6.14	829
6.19	829
6.24	835
6.29	833
6.34	838
6.39	842
6.44	843
6.49	849
6.54	841
6.59	842
6.64	842
6.69	843
6.74	841
6.79	783
6.84	657
6.89	648
6.94	684
6.99	705
7.04	725
7.09	742
7.14	729
7.19	728
7.24	727
7.29	706
7.34	711
7.39	683
7.44	677
7.49	655
7.54	644
7.59	636
7.64	629
7.69	625
7.74	615
7.79	609
7.84	607
7.89	597
7.94	562
7.99	584
8.04	578
8.09	577
8.14	575
8.19	569
8.24	566
8.29	522
8.34	563
8.39	559
8.44	555
8.49	557
8.54	553
8.59	540
8.64	534
8.69	527
8.74	523
8.79	517
8.84	509
8.89	515
8.94	522
8.99	528
9.04	538
9.09	549
9.14	552
9.19	556
9.24	562
9.29	563
9.34	566
9.39	571
9.44	574
9.49	577
9.54	578
9.59	591
9.64	595
9.69	601
9.74	612
9.79	618
9.84	627
9.89	635
9.94	645
9.99	657
10.04	674
10.09	691
10.14	693
10.19	694
10.24	691
10.29	693
10.34	695
10.39	691
10.44	695
10.49	693
10.54	697
10.59	711
10.64	709
10.69	707
10.74	696
10.79	693
10.84	671
10.89	675
10.94	695
10.99	659
11.04	662
11.09	664
11.14	699
11.19	684
11.24	682
11.29	680
11.34	683
11.39	691
11.44	675
11.49	682
11.54	674
11.59	685
11.64	705
11.69	726
11.74	739
11.79	772
11.84	783
11.89	802
11.94	825
11.99	618
12.04	517
12.09	437
12.14	334
12.19	222
12.24	117
12.29	101
12.34	99
12.39	98
12.44	96
12.49	95
12.54	94
12.59	85
12.64	79
12.69	67
12.74	59
12.79	53
12.84	47
12.89	41
12.94	37
12.99	33
13.04	22
13.09	14
13.14	11
13.19	9
13.24	6
13.29	4
13.34	3
13.39	2
13.44	1
13.49	1
13.54	1
13.59	1
13.64	1
13.69	0
13.74	0
13.79	0
13.84	0
13.89	0
13.94	0
13.99	0
14.04	0
14.09	0
14.14	0
14.19	0
14.24	0
14.29	0
14.34	0
14.39	0
14.44	0
14.49	0
