t,x1,x2
0,4,0
0.01,4.02956420626375,-0.009779557437916668
0.02,4.0582537270408485,-0.01911650576624138
0.03,4.086064088572408,-0.02800836319924957
0.04,4.112991048563818,-0.036452787143426216
0.05,4.139030596664687,-0.04444757448489978
0.060000000000000005,4.164178954887301,-0.05199066183901691
0.07,4.188432577963614,-0.05908012576209046
0.08,4.211788153640862,-0.06571418292536296
0.09,4.234242602915888,-0.07189119025123808
0.09999999999999999,4.255793080208251,-0.07760964501184148
0.10999999999999999,4.27643697347227,-0.08286818488998313
0.11999999999999998,4.2961719042481015,-0.08766558800260203
0.12999999999999998,4.31499572765202,-0.09200077288678446
0.13999999999999999,4.332906532306053,-0.09587279844845599
0.15,4.3499026402071514,-0.09928086387385755
0.16,4.365982606536085,-0.10222430850392474
0.17,4.3811452194062745,-0.1047026116716994
0.18000000000000002,4.395389499552785,-0.10671539250291166
0.19000000000000003,4.4087146999617115,-0.1082624096798799
0.20000000000000004,4.421120305440219,-0.1093435611688855
0.21000000000000005,4.4326060321275005,-0.10995888391118812
0.22000000000000006,4.443171826946934,-0.11010855347785684
0.23000000000000007,4.45281786699974,-0.1097928836886007
0.24000000000000007,4.461544558900453,-0.10901232619479219
0.25000000000000006,4.4693525380545225,-0.10776747002688515
0.26000000000000006,4.4762426678784,-0.10605904110643798
0.2700000000000001,4.482216038962452,-0.1038879017229615
0.2800000000000001,4.487273968177082,-0.10125504997581963
0.2900000000000001,4.491417997722426,-0.0981616191814193
0.3000000000000001,4.494649894122038,-0.09460887724593496
0.3100000000000001,4.496971647160961,-0.090598226003821
0.3200000000000001,4.498385468768612,-0.08613120052237408
0.3300000000000001,4.498893791846919,-0.08120946837261517
0.34000000000000014,4.4984992690441565,-0.07583482886676968
0.35000000000000014,4.4972047714749435,-0.07000921226263176
0.36000000000000015,4.495013387386884,-0.06373467893510698
0.37000000000000016,4.491928420774331,-0.057013418515235115
0.38000000000000017,4.487953389939781,-0.04984774899700314
0.3900000000000002,4.48309202600341,-0.0422401158122654
0.4000000000000002,4.477348271361272,-0.03419309087409608
0.4100000000000002,4.4707262780927115,-0.025709371588906092
0.4200000000000002,4.463230406317518,-0.016791779837664146
0.4300000000000002,4.454865222503406,-0.007443260926568818
0.4400000000000002,4.445635497724378,0.0023331174924744753
0.45000000000000023,4.43554620587056,0.012534166531210643
0.46000000000000024,4.424602521810101,0.023156577203858355
0.47000000000000025,4.41280981950375,0.0341969215950252
0.48000000000000026,4.400173670072719,0.0456516540563333
0.49000000000000027,4.386699839820462,0.0575171124313676
0.5000000000000002,4.372394288209016,0.0697895193085526
0.5100000000000002,4.357263165790532,0.08246498330155713
0.5200000000000002,4.341312812094682,0.09553950035682042
0.5300000000000002,4.324549753472577,0.10900895508778666
0.5400000000000003,4.30698070089791,0.1228691221354296
0.5500000000000003,4.288612547725973,0.13711566755464255
0.5600000000000003,4.269452367411276,0.15174415022606383
0.5700000000000003,4.249507411184455,0.1667500232929016
0.5800000000000003,4.228785105689186,0.18212863562231751
0.5900000000000003,4.207293050579829,0.1978752332909223
0.6000000000000003,4.185039016080536,0.213984961093932
0.6100000000000003,4.162030940506551,0.23045286407752807
0.6200000000000003,4.138276927748469,0.24727388909396006
0.6300000000000003,4.113785244720174,0.2644428863789244
0.6400000000000003,4.088564318771266,0.28195461115074844
0.6500000000000004,4.062622735064699,0.29980372523090465
0.6600000000000004,4.035969233920436,0.3179847986853747
0.6700000000000004,4.008612708125893,0.3364923114863799
0.6800000000000004,3.98056220021397,0.35532065519398975
0.6900000000000004,3.9518268997094474,0.3744641346571166
0.7000000000000004,3.922416140344576,0.39391696973340073
0.7100000000000004,3.8923393972446454,0.41367329702748623
0.7200000000000004,3.8616062840843575,0.43372717164718466
0.7300000000000004,3.8302265502158237,0.45407256897702036
0.7400000000000004,3.798210077769006,0.47470338646864746
0.7500000000000004,3.7655668787254353,0.49561344544762587
0.7600000000000005,3.732307091966041,0.5167964929360409
0.7700000000000005,3.698440980293931,0.5382462034904476
0.7800000000000005,3.6639789274329644,0.5599561810546188
0.7900000000000005,3.628931435002965,0.5819199608265728
0.8000000000000005,3.593309119472431,0.6041310111393557
0.8100000000000005,3.55712270908959,0.6265827353550479
0.8200000000000005,3.520383040792659,0.6492684737714669
0.8300000000000005,3.4831010571001775,0.6721815055410315
0.8400000000000005,3.445287802982271,0.6953150506012552
0.8500000000000005,3.4069544227137136,0.7186622716163317
0.8600000000000005,3.3681121567096635,0.742216275929275
0.8700000000000006,3.3287723383449404,0.7659701175240765
0.8800000000000006,3.288946390757718,0.7899167989973375
0.8900000000000006,3.248645823638511,0.8140492735388366
0.9000000000000006,3.207882230005331,0.8383604469204913
0.9100000000000006,3.166667282965891,0.8628431794931677
0.9200000000000006,3.12501273246774,0.8874902881907983
0.9300000000000006,3.0829304020372037,0.9122945485412618
0.9400000000000006,3.0404321855080187,0.9372486966834801
0.9500000000000006,2.9975300437405377,0.9623454313901901
0.9600000000000006,2.954236001332388,0.9875774160958429
0.9700000000000006,2.910562143321466,1.012937280929088
0.9800000000000006,2.8665206118821502,1.0384176247492956
0.9900000000000007,2.822123603015609,1.0640110171865762
1.0000000000000007,2.777383363235089,1.0897100006847502
1.0100000000000007,2.73231218624706,1.115507092546727
1.0200000000000007,2.6869224096290925,1.1413947869817505
1.0300000000000007,2.64122641150535,1.1673655571539694
1.0400000000000007,2.5952366072205635,1.1934118572317933
1.0500000000000007,2.548965446013368,1.2195261244374929
1.0600000000000007,2.502425407689866,1.2457007810965086
